2026-02-26 09:36:29 | VISITOR | IP: 127.0.0.1 | Loc: Local, Local | ISP: Local | Device: Desktop | Browser: Safari/537.36 | Path: GET / | Status: 200 | Ref: http://127.0.0.1:8000/rooms/MTD0/?name=NNNNNNNN&gender=female
2026-02-26 09:42:11 | VISITOR | IP: 127.0.0.1 | Loc: Local, Local | ISP: Local | Device: Desktop | Browser: Safari/537.36 | Path: GET /.well-known/appspecific/com.chrome.devtools.json | Status: 404 | Ref: 
2026-02-26 09:42:12 | VISITOR | IP: 127.0.0.1 | Loc: Local, Local | ISP: Local | Device: Desktop | Browser: Safari/537.36 | Path: GET /.well-known/appspecific/com.chrome.devtools.json | Status: 404 | Ref: 
2026-02-26 09:42:14 | VISITOR | IP: 127.0.0.1 | Loc: Local, Local | ISP: Local | Device: Mobile | Browser: Safari/537.36 | Path: GET /rooms/N54Y/ | Status: 200 | Ref: http://127.0.0.1:8000/
2026-02-26 09:42:15 | VISITOR | IP: 127.0.0.1 | Loc: Local, Local | ISP: Local | Device: Mobile | Browser: Safari/537.36 | Path: GET / | Status: 200 | Ref: 
2026-02-26 09:42:17 | VISITOR | IP: 127.0.0.1 | Loc: Local, Local | ISP: Local | Device: Desktop | Browser: Safari/537.36 | Path: GET /.well-known/appspecific/com.chrome.devtools.json | Status: 404 | Ref: 
2026-02-26 09:42:20 | VISITOR | IP: 127.0.0.1 | Loc: Local, Local | ISP: Local | Device: Mobile | Browser: Safari/537.36 | Path: GET /rooms/N54Y/ | Status: 200 | Ref: http://127.0.0.1:8000/
2026-02-26 09:42:21 | VISITOR | IP: 127.0.0.1 | Loc: Local, Local | ISP: Local | Device: Desktop | Browser: Safari/537.36 | Path: GET /.well-known/appspecific/com.chrome.devtools.json | Status: 404 | Ref: 
2026-02-26 09:42:25 | VISITOR | IP: 127.0.0.1 | Loc: Local, Local | ISP: Local | Device: Desktop | Browser: Safari/537.36 | Path: GET /.well-known/appspecific/com.chrome.devtools.json | Status: 404 | Ref: 
2026-02-26 09:42:26 | VISITOR | IP: 127.0.0.1 | Loc: Local, Local | ISP: Local | Device: Desktop | Browser: Safari/537.36 | Path: GET /.well-known/appspecific/com.chrome.devtools.json | Status: 404 | Ref: 
2026-02-26 09:42:28 | VISITOR | IP: 127.0.0.1 | Loc: Local, Local | ISP: Local | Device: Desktop | Browser: Safari/537.36 | Path: GET /.well-known/appspecific/com.chrome.devtools.json | Status: 404 | Ref: 
2026-02-26 09:42:29 | VISITOR | IP: 127.0.0.1 | Loc: Local, Local | ISP: Local | Device: Desktop | Browser: Safari/537.36 | Path: GET /.well-known/appspecific/com.chrome.devtools.json | Status: 404 | Ref: 
2026-02-26 09:42:31 | VISITOR | IP: 127.0.0.1 | Loc: Local, Local | ISP: Local | Device: Desktop | Browser: Safari/537.36 | Path: GET /.well-known/appspecific/com.chrome.devtools.json | Status: 404 | Ref: 
2026-02-26 09:42:32 | VISITOR | IP: 127.0.0.1 | Loc: Local, Local | ISP: Local | Device: Desktop | Browser: Safari/537.36 | Path: GET /.well-known/appspecific/com.chrome.devtools.json | Status: 404 | Ref: 
2026-02-26 09:42:34 | VISITOR | IP: 127.0.0.1 | Loc: Local, Local | ISP: Local | Device: Mobile | Browser: Safari/537.36 | Path: GET /rooms/N54Y/ | Status: 200 | Ref: http://127.0.0.1:8000/
2026-02-26 09:42:35 | VISITOR | IP: 127.0.0.1 | Loc: Local, Local | ISP: Local | Device: Desktop | Browser: Safari/537.36 | Path: GET /.well-known/appspecific/com.chrome.devtools.json | Status: 404 | Ref: 
2026-02-26 09:42:37 | VISITOR | IP: 127.0.0.1 | Loc: Local, Local | ISP: Local | Device: Mobile | Browser: Safari/537.36 | Path: GET /rooms/N54Y/ | Status: 200 | Ref: http://127.0.0.1:8000/
2026-02-26 09:42:38 | VISITOR | IP: 127.0.0.1 | Loc: Local, Local | ISP: Local | Device: Mobile | Browser: Safari/537.36 | Path: GET /rooms/N54Y/ | Status: 200 | Ref: http://127.0.0.1:8000/
2026-02-26 09:42:40 | VISITOR | IP: 127.0.0.1 | Loc: Local, Local | ISP: Local | Device: Desktop | Browser: Safari/537.36 | Path: GET /.well-known/appspecific/com.chrome.devtools.json | Status: 404 | Ref: 
2026-02-26 09:42:41 | VISITOR | IP: 127.0.0.1 | Loc: Local, Local | ISP: Local | Device: Mobile | Browser: Safari/537.36 | Path: GET /rooms/N54Y/ | Status: 200 | Ref: http://127.0.0.1:8000/
2026-02-26 09:42:43 | VISITOR | IP: 127.0.0.1 | Loc: Local, Local | ISP: Local | Device: Desktop | Browser: Safari/537.36 | Path: GET /.well-known/appspecific/com.chrome.devtools.json | Status: 404 | Ref: 
2026-02-26 09:42:44 | VISITOR | IP: 127.0.0.1 | Loc: Local, Local | ISP: Local | Device: Desktop | Browser: Safari/537.36 | Path: GET /.well-known/appspecific/com.chrome.devtools.json | Status: 404 | Ref: 
